UserID+Query#,Duration in ms
66918+10,233
66918+11,110328
23623+9,40
66918+12,98237
23623+8,21
66918+13,72448
23623+7,465
66918+14,9
23623+6,58
66918+15,5
23623+5,625
66918+16,1
56039+10,17
56039+11,19
56039+12,12
15919+2,4
56039+13,8
15919+3,0
56039+14,0
95346+3,0
95346+2,5
15919+0,8
15919+1,59
86860+0,8
86860+2,1
86860+1,175
71004+0,54
23830+1,0
23830+0,184
51110+0,0
96834+4,97
96834+3,2487
96834+6,45
96834+5,7386
96834+0,425
96834+2,41
96834+1,237
96834+8,38
96834+7,39
96834+9,35
92258+0,0
89675+13,10
89675+14,4
89675+11,20
89675+12,8
89675+15,0
89675+10,14
22166+1,10
22166+0,174
22166+2,2
60274+9,11
93394+9,220
60274+8,31
93394+8,21
60274+7,21
93394+7,20
60274+6,30
93394+2,48
93394+1,56
93394+0,33
93394+6,523
93394+5,6927
93394+4,371
93394+3,28
25341+9,15
25341+8,14
25341+7,26
25341+6,577
25341+5,47
25341+4,48
25341+3,789
25341+2,208
25341+1,36
25341+0,47
95346+1,6
95346+0,10
39022+9,23
60274+1,57
39022+6,23
60274+0,686
39022+5,46
39022+8,34
39022+7,25
60274+5,27
39022+2,85
60274+4,20
39022+1,7289
60274+3,503
39022+4,74
60274+2,45
39022+3,214
39022+0,479
38252+15,1
38252+14,5
38252+11,8
38252+10,11
38252+13,172
38252+12,8
25464+17,1
89867+14,0
25464+15,11
89867+13,4
25464+16,3
89867+12,9
89867+11,15
89867+10,17
93267+0,25
93267+1,13
36379+0,0
95135+2,0
18895+0,7
95135+0,170
18895+1,5
95135+1,4
18895+2,1
25464+10,193
40397+2,5
40397+3,0
25464+13,18
40397+0,10
25464+14,180
40397+1,183
25464+11,25
25464+12,23
85035+17,2
85035+13,8
85035+14,32
85035+15,5
85035+16,5
85035+10,40
85035+11,15
85035+12,19
7870+0,387
7870+9,19
93267+2,6
93267+3,0
7870+2,183
7870+1,201
7870+4,35
7870+3,39
7870+6,29
7870+5,41
7870+8,23
7870+7,992
71978+0,67
71978+2,392
71978+1,38
34071+1,1
71978+4,49
34071+0,4
71978+3,1153
71978+6,36
71978+5,51
71978+8,37
71978+7,44
71978+9,52
77597+0,82
77597+1,1
63186+0,12
19573+0,1
68675+11,18
68675+10,598
68675+13,409
68675+12,192
63186+1,7
68675+15,183
63186+2,160
68675+14,12
63186+3,1
68675+17,4
68675+16,6
79302+8,768
79302+9,375
94106+0,3
94106+1,0
43966+0,0
88731+15,1
88731+13,8
88731+14,4
88731+11,14
88731+12,10
88731+10,6384
68675+18,0
23623+4,53
23623+3,36
23623+2,40
61226+10,0
23623+1,100
3428+3,1
23623+0,675
3428+2,5
3428+1,18
3428+0,23
50877+1,0
50877+0,2
71978+19,1
71978+18,4
71978+17,182
71978+16,379
56039+6,43
56039+7,23
56039+8,25
56039+9,19
71978+15,12
71978+14,22
71978+13,21
71978+12,553
71978+11,20
71978+10,210
71004+14,1
71004+13,3
71004+12,9
71004+11,10
71004+10,19
44378+7,59
44378+8,75
44378+9,18
64948+0,0
76008+1,559
76008+0,688
44378+0,38
44378+1,216
44378+2,191
44968+8,26
44378+3,37
44968+9,40
44378+4,70
44378+5,24
44378+6,29
44968+4,784
44968+5,52
44968+6,36
44968+7,29
44968+0,69
44968+1,49
44968+2,1024
44968+3,6816
641+12,667
23623+12,4
27100+9,828
641+11,11
27100+8,1058
641+14,4
23623+10,11
27100+7,28
641+13,9
23623+11,236
641+15,0
27100+2,71
27100+1,71
27100+0,80
27100+6,42
27100+5,983
27100+4,6755
641+10,24
27100+3,1153
76008+9,176
76008+8,7058
76008+7,406
76008+6,17
76008+5,655
76008+4,347
76008+3,27
76008+2,2244
77232+0,0
26040+0,0
72086+1,0
72086+0,3
71067+1,0
71067+0,185
60699+3,1
60699+0,178
60699+1,10
60699+2,6
14753+9,25
56039+2,1284
56039+3,7259
56039+4,46
56039+5,40
14957+0,14936
56039+0,239
14957+2,418
56039+1,2393
14957+1,604
26716+1,0
26716+0,3
41657+11,6670
14957+4,228
41657+12,20
14957+3,54
89867+9,26
41657+13,13
14957+6,7324
89867+8,36
41657+14,205
14957+5,38
89867+7,34
41657+15,346
14957+8,34
89867+6,37
41657+16,8
14957+7,33
89867+5,82
41657+17,169
89867+4,104
41657+18,0
14957+9,13
89867+3,57
14753+6,29
14753+5,47
14753+8,375
14753+7,24
14753+2,43
14753+1,95
14753+4,1153
14753+3,4508
41657+10,30
62934+3,1
62934+1,175
14753+0,3578
62934+2,6
62934+0,11
56471+0,3
5955+10,19
56471+1,0
5955+11,20
37204+1,0
5955+14,1
37204+0,2
5955+12,11
5955+13,5
27100+13,352
27100+12,542
27100+15,340
27100+14,349
27100+17,162
27100+16,170
27100+19,1
27100+18,4
30006+1,118
30006+0,1102
30006+3,97
30006+2,89
30006+5,385
78539+15,1
30006+4,952
78539+14,5
30006+7,6759
78539+13,8
30006+6,224
78539+12,18
30006+9,1298
78539+11,8
30006+8,1731
78539+10,22
76008+10,11
6320+1,1
76008+11,6
6320+0,7
76008+12,4
76008+13,0
89867+2,61
89867+1,221
89867+0,258
14955+0,2279
14955+2,1315
14955+1,64
14955+4,34
14955+3,35
71576+0,5
14955+6,40
14955+5,54
14955+8,20
14955+7,26
14955+9,13
55338+0,1111
55338+2,67
55338+1,1500
55338+4,73
55338+3,64
55338+6,37
55338+5,773
55338+8,70922
55338+7,582
55338+9,41
27100+11,17
27100+10,516
71576+1,1
20566+0,7
20566+1,4
20566+2,1
72360+9,18
63010+16,0
63010+14,7
63010+15,3
47644+3,1
63010+12,15
47644+2,5
63010+13,173
47644+1,10
63010+10,15
47644+0,172
63010+11,26
72360+0,54
72360+1,1125
72360+2,877
72360+3,54
72360+4,763
72360+5,565
72360+6,6619
72360+7,29
72360+8,16
7870+13,6
7870+12,8
7870+11,12
7870+10,12
7870+15,0
7870+14,5
25341+12,7
25341+11,7269
25341+10,440
24762+1,6487
24762+0,75
24762+5,1116
24762+4,37
24762+3,1185
24762+2,71957
24762+9,48
24762+8,29
24762+7,711
24762+6,577
4232+2,39
4232+3,1633
4232+4,1423
4232+5,59
4232+0,69
4232+1,89
4232+6,32
57170+0,5
4232+7,493
4232+8,63
4232+9,78
57170+1,0
25464+8,347
81648+14,1
25464+9,22
81648+13,4
25464+6,30
81648+12,8
25464+7,545
81648+11,786
25464+4,30
81648+10,18
25464+5,826
25464+2,82
25464+3,6561
25464+0,1349
25464+1,64
25341+15,1
25341+14,4
25341+13,197
26636+4,1265
26636+5,107
26636+2,2296
26636+3,64
26636+0,253
26636+1,38
96572+0,0
80848+1,1
80848+0,5
62018+0,2
62018+1,0
14724+0,195
14724+3,1
14724+2,6
14724+1,188
96690+3,1
96690+0,184
96690+1,7
96690+2,996
93394+11,192
93394+10,19
93394+14,1
93394+13,5
93394+12,200
26636+8,21
26636+9,18
26636+6,61
26636+7,36
72813+1,8
72360+16,0
72813+0,14
72360+14,6
72813+2,2
72360+15,161
72360+12,9
72360+13,9
72360+10,18
72360+11,167
51022+1,1
51022+0,2
60274+13,161
60274+14,4
60274+15,1
60274+10,20
60274+11,335
60274+12,9
39022+14,1
25901+2,1
39022+13,9
39022+12,21
25901+0,1000
39022+11,25
25901+1,3
39022+10,28
38252+0,529
38252+7,33
88731+1,204
38252+8,1156
88731+0,515
38252+5,53
38252+6,18
38252+3,35
88731+5,29
38252+4,58
88731+4,13080
38252+1,37
88731+3,30
38252+2,186
88731+2,6588
38252+9,29
5955+3,43
5955+4,74
5955+5,31
5955+6,48
63010+0,341
5955+0,464
79302+19,1
5955+1,1205
5955+2,219
63010+4,575
63010+3,1041
63010+2,45
63010+1,34
63010+8,19
63010+7,359
63010+6,676
63010+5,30
85035+0,60
41657+3,728
14955+11,2
85035+1,47
41657+2,2768
14955+10,16
41657+1,75
89675+9,181
41657+0,710
89675+8,15
85035+4,232
41657+7,49
85035+5,34
41657+6,54
85035+2,1268
41657+5,65
85035+3,37
41657+4,50
41657+9,35
41657+8,538
5955+7,29
5955+8,36
5955+9,7382
85035+8,33
89675+3,24
85035+9,33
89675+2,40
85035+6,23
89675+1,6617
85035+7,28
89675+0,44
89675+7,39
89675+6,34
89675+5,39
89675+4,359
79302+10,38
63010+9,32
66918+0,6537
66918+1,78
66918+2,1312
66918+3,556
79302+17,330
66918+4,44
79302+18,4
66918+5,100384
79302+15,14
66918+6,30
79302+16,8
66918+7,108389
79302+13,17
66918+8,345
79302+14,206
66918+9,21
79302+11,21
79302+12,32
26985+1,3
26985+2,1
16988+13,8
16988+12,8
16988+15,1
16988+14,4
16988+11,904
16988+10,345
26985+0,8
13280+2,0
13280+1,3
13280+0,29
30305+10,15
230+0,8
230+1,4
230+2,1
11970+3,0
11970+2,6
11970+1,1162
30305+14,3
30305+13,7
30305+12,19
30305+11,804
11970+0,2200
30305+15,1
35867+1,2
35867+0,187
35867+2,1
96834+11,26
96834+10,24
44378+13,32
98298+6,24
36908+9,189
44378+12,39
98298+5,240
44378+15,9
98298+8,18
44378+14,16
98298+7,1126
36908+6,43
44378+17,4
98298+2,649
36908+5,533
44378+16,8
98298+1,87
36908+8,33
44378+19,0
98298+4,28
59676+0,1
36908+7,45
44378+18,2
98298+3,39
36908+2,34
96834+13,1258
36908+1,6565
96834+12,19
36908+4,519
98298+0,825
96834+15,1
36908+3,43
96834+14,9
36908+0,1059
44378+11,35
44378+10,62
14945+14,168
14945+13,13
14945+12,530
14945+11,20
14945+10,1044
14945+18,0
14945+17,3
14945+16,159
14945+15,314
28721+0,13
28721+2,0
28721+1,7582
78539+0,2681
99982+0,12
99982+1,9
99982+2,5
99982+3,1
81648+5,34
81648+4,28
78539+9,16
81648+3,26
81648+2,200
81648+9,18
81648+8,28
81648+7,31
81648+6,22
78539+2,181
78539+1,205
78539+4,33
78539+3,32
81648+1,1110
78539+6,37
81648+0,1130
78539+5,23
78539+8,60
78539+7,31
53297+5,27
53297+6,19
14957+12,186
11749+10,5
53297+7,23
14957+13,0
11749+11,1
53297+8,10
14957+10,10
53297+1,36
14957+11,386
53297+2,32
53297+3,39
53297+4,28
53297+0,7537
70389+0,0
53297+9,6
98298+9,18
49679+10,19
16900+13,6
16900+12,21
16900+15,0
16900+14,4
27409+0,1
49679+15,0
49679+14,3
49679+13,5
49679+12,167
16900+11,16
49679+11,17
16900+10,22
30305+9,26
30305+8,39
30305+3,26
30305+2,53
30305+1,1004
30305+0,1173
30305+7,26
30305+6,25
30305+5,214
30305+4,1181
11947+1,211
11947+2,4
67195+0,0
11947+0,9
11947+3,0
55338+20,1
16988+7,39
16988+8,19
16988+9,22
79302+0,1428
79302+1,2070
79302+2,51
79302+3,2865
79302+4,726
79302+5,1072
79302+6,37
79302+7,35
55338+16,11
36908+13,335
9804+7,56
55338+17,11
36908+12,15
9804+6,65
55338+18,7
36908+11,16
9804+5,540
55338+19,5
36908+10,39
9804+4,548
9804+3,834
9804+2,101
9804+1,92
9804+0,118
16988+3,930
16988+4,1275
55338+10,37
16988+5,425
55338+11,72475
16988+6,52
55338+12,354
55338+13,17
16988+0,55
55338+14,183
16988+1,31
55338+15,22
16988+2,1043
36908+18,0
36908+17,5
36908+16,10
36908+15,165
9804+9,2305
36908+14,173
9804+8,44
49679+3,895
26636+13,0
49840+1,0
49679+2,1163
49840+0,4
49679+1,2458
49679+0,397
49679+7,41
49679+6,34
49679+5,36
49679+4,63
26636+10,26
26636+11,17
26636+12,6
71413+0,177
71413+1,12
71413+2,5
71413+3,0
49679+9,19
49679+8,16
9804+18,0
9804+17,6
16744+0,5
9804+16,12
9804+15,218
9804+14,221
9804+13,25
9804+12,230
9804+11,24
9804+10,1261
641+1,1109
641+0,249
641+3,1040
641+2,44
12659+0,0
641+5,900
641+4,41
641+7,1230
16744+1,0
641+6,32
53297+10,1
76652+1,173
76652+2,1
76652+0,9
9859+0,4
9859+1,0
64827+0,1
58544+1,6
58544+2,1
58544+0,341
641+9,13
641+8,18
98298+13,1
98298+12,4
98298+11,7
98298+10,16
61226+6,26
61226+7,9
61226+4,15
61226+5,34
61226+2,219
61226+3,28
61226+0,400
61226+1,255
88731+9,28
88731+8,44
88731+7,22
88731+6,24
61226+8,9
61226+9,4
14945+1,55
14945+0,584
14945+3,6551
14945+2,2063
10852+1,1
10852+0,5
14945+5,96
14945+4,714
14945+7,367
14945+6,37
14945+9,22
14945+8,36
68675+0,2944
19470+0,200
19470+1,2
68675+3,5115
68675+4,52
68675+1,1136
68675+2,38
68675+7,27
68675+8,1570
68675+5,35
68675+6,451
16900+7,23
16900+8,1305
16900+9,19
44968+20,0
16900+0,242
16900+1,32
16900+2,6684
16900+3,3572
68013+2,0
16900+4,44
68013+1,4
16900+5,38
68013+0,7
16900+6,2580
55679+0,0
14753+12,14
14753+13,10
14753+10,23
14753+11,18
14753+16,1
11749+9,11
14753+14,193
11749+7,47
14753+15,5
11749+8,12
11749+5,27
29831+10,19
11749+6,15
11749+3,34
11749+4,1266
29831+13,229
11749+1,43
29831+14,4
11749+2,74251
26628+3,1
29831+11,27
29831+12,13
11749+0,7504
24762+10,531
24762+12,15
24762+11,20
30006+18,15
24762+14,339
30006+17,193
24762+13,15
24762+16,169
30006+19,15
24762+15,9
30006+14,562
30006+13,36
30006+16,27
46935+0,8
30006+15,6530
46935+1,6
30006+10,1215
30006+12,2208
30006+11,40
44968+19,2
44968+11,33
44968+12,21
44968+13,525
44968+14,6624
44968+15,563
44968+16,395
44968+17,10
44968+18,168
26628+0,7693
68675+9,3109
26628+2,210
26628+1,11
44968+10,30
27996+0,331
27996+1,173
71004+9,209
27996+2,1
71004+8,31
71004+7,21
71004+6,29
71004+5,37
50160+0,0
71004+4,36
71004+3,363
71004+2,43
71004+1,47
46935+2,0
24762+18,0
24762+17,4
4232+13,195
4232+14,7
4232+15,5
4232+16,2
29831+4,47
4232+10,21
29831+5,61
4232+11,24
29831+6,1319
29831+15,4
4232+12,25
29831+7,48
29831+8,63
29831+9,1809
30006+21,8
29831+0,56
30006+20,12
29831+1,1103
30006+23,1
29831+2,234
30006+22,5
29831+3,256
72054+0,0
